DATE,HOLIDAY,WEEKDAY,WEATHERSIT,TEMP,ATEMP,HUMIDITY,WINDSPEED,CASUAL,REGISTERED
2011-04-11,NO,YES,2,20.5,20.5,73,19.5,855,2493
2011-04-12,NO,YES,2,16,16,77,19,257,1777
2011-04-13,NO,YES,2,11.5,11.5,85,17,209,1953
2011-04-14,NO,YES,1,14,14,55,9,529,2738
2011-04-15,YES,YES,1,13,13,67,17,642,2484
2011-04-16,NO,NO,3,12,12,88,22,121,674
2011-04-17,NO,NO,1,13.5,13.5,43,22,1558,2186
2011-04-18,NO,YES,1,17,17,49,11,669,2760
2011-04-19,NO,YES,2,16,16,67.5,11,409,2795
2011-04-20,NO,YES,1,22,22,54.5,17,613,3331
2011-04-21,NO,YES,1,13.5,13.5,42.5,23,745,3444
2011-04-22,NO,YES,2,8,5,66,15,177,1506
2011-04-23,NO,NO,2,14,14,88,15,1462,2574
2011-04-24,NO,NO,2,19,19,83,13,1710,2481
2011-04-25,NO,YES,1,21,21,74,15,773,3300
2011-04-26,NO,YES,1,22.5,22.5,74,22,678,3722
2011-04-27,NO,YES,2,22,22,83,19,547,3325
2011-04-28,NO,YES,2,22,22,78,22,569,3489
2011-04-29,NO,YES,1,17,17,45,19,878,3717
2011-04-30,NO,NO,1,13,13,54,15,1965,3347
2011-05-01,NO,NO,2,14,14,77,7,1138,2213
2011-05-02,NO,YES,2,19.5,19.5,73,13,847,3554
2011-05-03,NO,YES,2,22,22,66.5,23,603,3848
2011-05-04,NO,YES,2,11,11,74.5,22,255,2378
2011-05-05,NO,YES,1,15.5,15.5,39,17,614,3819
2011-05-06,NO,YES,1,14,14,62,11,894,3714
2011-05-07,NO,NO,1,18,18,49,11,1612,3102
2011-05-08,NO,NO,1,17,17,63,6,1401,2932
2011-05-09,NO,YES,1,17.5,17.5,56,13,664,3698
2011-05-10,NO,YES,1,17.5,17.5,52,8,694,4109
2011-05-11,NO,YES,1,17.5,17.5,61.5,9,550,3632
2011-05-12,NO,YES,1,18,18,78,13,695,4169
2011-05-13,NO,YES,2,17,17,88,11,692,3413
2011-05-14,NO,NO,2,17,17,94,9,902,2507
2011-05-15,NO,NO,2,18.5,18.5,85.5,9,1582,2971
2011-05-16,NO,YES,1,19.5,19.5,83,9,773,3185
2011-05-17,NO,YES,2,19,19,88,20,678,3445
2011-05-18,NO,YES,2,18,18,88,15,536,3319
2011-05-19,NO,YES,2,17.5,17.5,88,6.5,735,3840
2011-05-20,NO,YES,1,18.5,18.5,66,7,909,4008
2011-05-21,NO,NO,1,21.5,21.5,62.5,8,2258,3547
2011-05-22,NO,NO,1,22,22,71,9,1576,3084
2011-05-23,NO,YES,2,22,23,88,15,836,3438
2011-05-24,NO,YES,2,23.5,23.5,74,13,659,3833
2011-05-25,NO,YES,1,24.5,24.5,67,9,740,4238
2011-05-26,NO,YES,1,26.5,27.5,65.5,12,758,3919
2011-05-27,NO,YES,1,25,25,65,17,871,3808
2011-05-28,NO,NO,1,24,24,74,15,2001,2757
2011-05-29,NO,NO,1,24,25,83,15,2355,2433
2011-05-30,YES,YES,1,27,29,70,7,1549,2549
2011-05-31,NO,YES,1,30,33,60.5,8,673,3309
2011-06-01,NO,YES,2,28,31,74,13,513,3461
2011-06-02,NO,YES,1,27,26,29.5,20,736,4232
2011-06-03,NO,YES,1,22,21,34.5,19,898,4414
2011-06-04,NO,NO,1,23,23,46.5,7,1869,3473
2011-06-05,NO,NO,2,23,23,65,11,1685,3221
2011-06-06,NO,YES,1,24.5,24.5,59.5,9,673,3875
2011-06-07,NO,YES,1,27,28.5,59.5,12,763,4070
2011-06-08,NO,YES,1,31,34,62,9,676,3725
2011-06-09,NO,YES,2,30,32.5,50,10,563,3352
2011-06-10,NO,YES,1,29,30.5,60.5,9,815,3771
2011-06-11,NO,NO,1,26.5,28,62,10,1729,3237
2011-06-12,NO,NO,1,24.5,25.5,78,11,1467,2993
2011-06-13,NO,YES,1,23,22.5,45.5,20,863,4157
2011-06-14,NO,YES,1,21,21,50,18,727,4164
2011-06-15,NO,YES,1,22.5,22.5,48.5,11,769,4411
2011-06-16,NO,YES,2,22,22,68,13,545,3222
2011-06-17,NO,YES,1,22.5,23,83,9,863,3981
2011-06-18,NO,NO,1,27,28,62,8,1807,3312
2011-06-19,NO,NO,2,26,27,67.5,7,1639,3105
2011-06-20,NO,YES,2,23,23,78,11,699,3311
2011-06-21,NO,YES,2,25,26,78,11,774,4061
2011-06-22,NO,YES,1,27.5,30.5,76,12,661,3846
2011-06-23,NO,YES,2,27,29,70,15,746,4044
2011-06-24,NO,YES,1,26.5,27,48,15,969,4022
2011-06-25,NO,NO,1,26,26,48,13,1782,3420
2011-06-26,NO,NO,1,26,26,52,7,1920,3385
2011-06-27,NO,YES,2,26,27,65,9,854,3854
2011-06-28,NO,YES,1,28,29.5,68,11,732,3916
2011-06-29,NO,YES,1,27,27,42,18,848,4377
2011-06-30,NO,YES,1,26,26,42,13,1027,4488
2011-07-01,NO,YES,1,26,26,42,9,1246,4116
2011-07-02,NO,NO,1,28,28.5,47.5,7,2204,2915
2011-07-03,NO,NO,2,25.5,26.5,70,12,2282,2367
2011-07-04,YES,YES,2,28,30,62,6,3065,2978
2011-07-05,NO,YES,1,29,30,62,7,1031,3634
2011-07-06,NO,YES,1,27,29,74,11,784,3845
2011-07-07,NO,YES,1,28,30.5,62,11,754,3838
2011-07-08,NO,YES,2,26,27,78.5,15,692,3348
2011-07-09,NO,NO,1,28,29,58,11,1988,3348
2011-07-10,NO,NO,1,28,30,61,13,1743,3138
2011-07-11,NO,YES,1,27.5,29.5,61,19,723,3363
2011-07-12,NO,YES,1,31,32,52,13,662,3596
2011-07-13,NO,YES,1,28,29,58,11,748,3594
2011-07-14,NO,YES,1,24.5,24.5,48.5,17,888,4196
2011-07-15,NO,YES,1,24,24,55.5,13,1318,4220
2011-07-16,NO,NO,1,26,27,56,15,2418,3505
2011-07-17,NO,NO,1,27.5,29,60,15,2006,3296
2011-07-18,NO,YES,1,28.5,30.5,66,15,841,3617
2011-07-19,NO,YES,1,29,33,66,9,752,3789
2011-07-20,NO,YES,1,29,34,70,7,644,3688
2011-07-21,NO,YES,2,32,41,71,15,632,3152
2011-07-22,NO,YES,1,33,38,57.5,7,562,2825
2011-07-23,NO,NO,1,32,36,52,9,987,2298
2011-07-24,NO,NO,1,32,36,55,10,1050,2556
2011-07-25,NO,YES,1,28,31,79,6,568,3272
2011-07-26,NO,YES,1,29.5,30.5,47.5,15,750,3840
2011-07-27,NO,YES,1,29.5,29.5,43.5,14,755,3901
2011-07-28,NO,YES,1,30,34,56,13,606,3784
2011-07-29,NO,YES,1,33,35.5,46.5,13,670,3176
2011-07-30,NO,NO,1,30.5,32,47.5,11,1559,2916
2011-07-31,NO,NO,1,30,32,55,11,1524,2778
2011-08-01,NO,YES,1,28,29,56.5,12,729,3537
2011-08-02,NO,YES,1,31,32,47.5,15,801,4044
2011-08-03,NO,YES,2,28,29,58,9,467,3107
2011-08-04,NO,YES,2,26,27,74,14,799,3777
2011-08-05,NO,YES,1,26,27,65,15,1023,3843
2011-08-06,NO,NO,2,27,30,78,15,1521,2773
2011-08-07,NO,NO,1,27,29,84,13,1298,2487
2011-08-08,NO,YES,1,29,31,56.5,10,846,3480
2011-08-09,NO,YES,1,30,30.5,57,11,907,3695
2011-08-10,NO,YES,1,29,29,39,14,884,3896
2011-08-11,NO,YES,1,26.5,26.5,42,11,812,3980
2011-08-12,NO,YES,1,26.5,26.5,42,9,1051,3854
2011-08-13,NO,NO,2,25,26,74,13,1504,2646
2011-08-14,NO,NO,2,24,25,83.5,14,1338,2482
2011-08-15,NO,YES,1,24,24,69,15,775,3563
2011-08-16,NO,YES,1,26,27,58,16,721,4004
2011-08-17,NO,YES,1,27.5,28,56.5,11,668,4026
2011-08-18,NO,YES,1,25,25.5,67.5,17,639,3166
2011-08-19,NO,YES,2,23.5,24.5,80.5,6,797,3356
2011-08-20,NO,NO,1,26.5,27.5,67,9,1914,3277
2011-08-21,NO,NO,1,26,28,79,17,1249,2624
2011-08-22,NO,YES,1,25.5,26,39.5,20,833,3925
2011-08-23,NO,YES,1,22.5,22.5,49.5,12,1281,4614
2011-08-24,NO,YES,1,26,27,59,20,949,4181
2011-08-25,NO,YES,2,25,25,78,20,435,3107
2011-08-26,NO,YES,1,27,30,79,7,768,3893
2011-08-27,NO,NO,2,24,25,84,29.5,226,889
2011-08-28,NO,NO,1,24,24,65,26,1415,2919
2011-08-29,NO,YES,1,22.5,22.5,53,11,729,3905
2011-08-30,NO,YES,1,23.5,23.5,53.5,9,775,4429
2011-08-31,NO,YES,1,24,24,61,6,688,4370
2011-09-01,NO,YES,1,24,24,59.5,9,783,4332
2011-09-02,NO,YES,2,23,23,74,9,875,3852
2011-09-03,NO,NO,1,24,24.5,70,11,1935,2549
2011-09-04,NO,NO,1,27,29,74,13,2521,2419
2011-09-05,YES,YES,2,24.5,25,76,11,1236,2115
2011-09-06,NO,YES,3,18,18,88,24,204,2506
2011-09-07,NO,YES,3,21,21,94,7,118,1878
2011-09-08,NO,YES,3,22,23,94,11,153,1689
2011-09-09,NO,YES,2,22,23,94,9,417,3127
2011-09-10,NO,NO,1,23,23,78,9,1750,3595
2011-09-11,NO,NO,1,23,23,73,7,1633,3413
2011-09-12,NO,YES,1,23,23,71.5,6,690,4023
2011-09-13,NO,YES,1,23,23,76,9,701,4062
2011-09-14,NO,YES,1,24,24,69.5,10,647,4138
2011-09-15,NO,YES,2,21.5,21.5,69,18,428,3231
2011-09-16,NO,YES,2,16,16,57,12,742,4018
2011-09-17,NO,NO,2,16,16,72,13,1434,3077
2011-09-18,NO,NO,1,17.5,17.5,68,13,1353,2921
2011-09-19,NO,YES,2,19,19,68,11,691,3848
2011-09-20,NO,YES,2,19,19,88,11,438,3203
2011-09-21,NO,YES,2,21.5,21.5,94,6.5,539,3813
2011-09-22,NO,YES,2,22,23,94,7,555,4240
2011-09-23,NO,YES,2,22,23,94,6,258,2137
2011-09-24,NO,NO,2,22,22,88,6,1776,3647
2011-09-25,NO,NO,2,22.5,23,85.5,3,1544,3466
2011-09-26,NO,YES,2,23,24,88,9,684,3946
2011-09-27,NO,YES,2,22.5,23.5,89,7,477,3643
2011-09-28,NO,YES,2,21,21,88,8,480,3427
2011-09-29,NO,YES,1,21,21,66.5,13,653,4186
2011-09-30,NO,YES,1,18,18,57,13,830,4372
2011-10-01,NO,NO,2,11,11,77,22,480,1949
2011-10-02,NO,NO,2,9,6,82,15,616,2302
2011-10-03,NO,YES,2,11,11,77,7,330,3240
2011-10-04,NO,YES,1,15.5,15.5,70,15,486,3970
2011-10-05,NO,YES,1,17,17,68.5,11,559,4267
2011-10-06,NO,YES,1,15.5,15.5,63,9,639,4126
2011-10-07,NO,YES,1,16,16,68,0,949,4036
2011-10-08,NO,NO,1,16.5,16.5,77,0,2235,3174
2011-10-09,NO,NO,1,17.5,17.5,80,6,2397,3114
2011-10-10,YES,YES,1,19,19,80.5,0,1514,3603
2011-10-11,NO,YES,2,20,20,83,10,667,3896
2011-10-12,NO,YES,3,18,18,91,17,217,2199
2011-10-13,NO,YES,2,20,20,88,9,290,2623
2011-10-14,NO,YES,2,19,19,88,13,529,3115
2011-10-15,NO,NO,1,16,16,47,14,1899,3318
2011-10-16,NO,NO,1,18,18,49,18,1748,3293
2011-10-17,NO,YES,1,18,18,55.5,11,713,3857
2011-10-18,NO,YES,2,17.5,17.5,72.5,7,637,4111
2011-10-19,NO,YES,3,17.5,17.5,94,13,254,2170
2011-10-20,NO,YES,1,15,15,58,28,471,3724
2011-10-21,NO,YES,1,12,12,56.5,15,676,3628
2011-10-22,NO,NO,1,11.5,11.5,63,6,1499,2809
2011-10-23,NO,NO,1,12,12,77,7,1619,2762
2011-10-24,NO,YES,1,14,14,82,7,699,3488
2011-10-25,NO,YES,1,14,14,67.5,9,695,3992
2011-10-26,NO,YES,2,15.5,15.5,72,11,404,3490
2011-10-27,NO,YES,2,15,15,85.5,10,240,2419
2011-10-28,NO,YES,2,7.5,5,61,16,456,3291
2011-10-29,NO,NO,3,4,1.5,87,24,57,570
2011-10-30,NO,NO,1,6.5,6,66,14,885,2446
2011-10-31,NO,YES,1,8,6,76,8,362,3307
2011-11-01,NO,YES,1,10,10,71.5,10,410,3658
2011-11-02,NO,YES,1,9.5,8.5,74,6.5,370,3816
2011-11-03,NO,YES,1,11,11,76,9,318,3656
2011-11-04,NO,YES,2,11,11,61,22,470,3576
2011-11-05,NO,NO,1,7,5,53,15,1156,2770
2011-11-06,NO,NO,1,9,8,78.5,6,952,2697
2011-11-07,NO,YES,1,9,8,84.5,6,373,3662
2011-11-08,NO,YES,1,10,10,79.5,6,376,3829
2011-11-09,NO,YES,1,11,11,87,0,305,3804
2011-11-10,NO,YES,2,9,7,82,15,190,2743
2011-11-11,YES,YES,1,7,4,43,20.5,440,2928
2011-11-12,NO,NO,1,11,11,58,15,1275,2792
2011-11-13,NO,NO,1,14,14,44,20,1004,2713
2011-11-14,NO,YES,1,19,19,61.5,20,595,3891
2011-11-15,NO,YES,2,18,18,68,12,449,3746
2011-11-16,NO,YES,3,14,14,94,9,145,1672
2011-11-17,NO,YES,2,8,4,52,20,139,2914
2011-11-18,NO,YES,1,4,2,43,11,245,3147
2011-11-19,NO,NO,1,9,7.5,52.5,17,943,2720
2011-11-20,NO,NO,2,14,14,67,13,787,2733
2011-11-21,NO,YES,3,13,13,94,10,220,2545
2011-11-22,NO,YES,3,11.5,11.5,94,7,69,1538
2011-11-23,NO,YES,2,13,13,66.5,26,112,2454
2011-11-24,YES,YES,1,9,7,61,10,560,935
2011-11-25,NO,YES,1,8.5,7.5,71,7,1095,1697
2011-11-26,NO,NO,1,9.5,9.5,76,6,1249,1819
2011-11-27,NO,NO,1,15,15,72,17,810,2261
2011-11-28,NO,YES,1,17,17,77.5,9,253,3614
2011-11-29,NO,YES,2,12,12,83,20,96,2818
2011-11-30,NO,YES,1,7,4,57,19,188,3425
2011-12-01,NO,YES,1,6,4,56,15,182,3545
2011-12-02,NO,YES,1,7,5,58,6,268,3672
2011-12-03,NO,NO,1,6,4.5,63.5,6,706,2908
2011-12-04,NO,NO,1,8,7,81,7,634,2851
2011-12-05,NO,YES,2,12,12,87,6,233,3578
2011-12-06,NO,YES,3,14,14,100,15,126,2468
2011-12-07,NO,YES,3,13,13,100,16,50,655
2011-12-08,NO,YES,1,4,2,56,15,150,3172
2011-12-09,NO,YES,1,5.5,4.5,73,6,261,3359
2011-12-10,NO,NO,1,4,2,49.5,15,502,2688
2011-12-11,NO,NO,1,2,3,56,0,377,2366
2011-12-12,NO,YES,1,3.5,4,70,6,143,3167
2011-12-13,NO,YES,1,6,4,53,11,155,3368
2011-12-14,NO,YES,2,7,6,66,6,178,3562
2011-12-15,NO,YES,2,14,14,63.5,19,181,3528
2011-12-16,NO,YES,2,8,5,46,18,178,3399
2011-12-17,NO,NO,2,4,1,56,16,275,2464
2011-12-18,NO,NO,1,2,1.5,60,11,220,2211
2011-12-19,NO,YES,1,7,5,59.5,11,260,3143
2011-12-20,NO,YES,2,9.5,9,60.5,0,216,3534
2011-12-21,NO,YES,2,13,13,88,17,107,2553
2011-12-22,NO,YES,2,13,13,82,0,227,2841
2011-12-23,NO,YES,1,10,8,66,17,163,2046
2011-12-24,NO,NO,1,6,4,54.5,11,155,856
2011-12-25,NO,NO,1,4.5,2,70.5,10,303,451
2011-12-26,YES,YES,1,8,5,46,16,430,887
2011-12-27,NO,YES,2,7,5.5,81.5,9,103,1059
2011-12-28,NO,YES,1,7,3,46,17,255,2047
2011-12-29,NO,YES,1,4.5,3,58.5,8,254,2169
2011-12-30,NO,YES,1,8,5,66,7,491,2508
2011-12-31,NO,NO,1,11,11,62,13,665,1820
2012-01-01,NO,NO,1,11,11,65,17,686,1608
2012-01-02,YES,YES,1,4,2,36.5,21,244,1707
2012-01-03,NO,YES,1,2,8,42.5,24,89,2147
2012-01-04,NO,YES,2,2,7,42.5,13,95,2273
2012-01-05,NO,YES,1,3.5,2,56,6,140,3132
2012-01-06,NO,YES,1,9,7,50,12,307,3791
2012-01-07,NO,NO,1,10.5,9.5,45,13,1070,3451
2012-01-08,NO,NO,1,7,5.5,49,14,599,2826
2012-01-09,NO,YES,2,2,1,70,7,106,2270
2012-01-10,NO,YES,1,4,4,81,11,173,3425
2012-01-11,NO,YES,2,7,5,87,9,92,2085
2012-01-12,NO,YES,2,10,7.5,77,13,269,3828
2012-01-13,NO,YES,1,4,2,46,24,174,3040
2012-01-14,NO,NO,1,2,5,47,15,333,2160
2012-01-15,NO,NO,1,1,5,43,16,284,2027
2012-01-16,YES,YES,1,4,2,54,19.5,217,2081
2012-01-17,NO,YES,2,11.5,10,74,22,127,2808
2012-01-18,NO,YES,1,6,2.5,42,27,109,3267
2012-01-19,NO,YES,1,3,2,48,17,130,3162
2012-01-20,NO,YES,2,2,2,38,14,115,3048
2012-01-21,NO,NO,2,1,5,81,17,67,1234
2012-01-22,NO,NO,2,1,5,80,13,196,1781
2012-01-23,NO,YES,2,2,1,93,9,145,2287
2012-01-24,NO,YES,1,7,6,87,8,439,3900
2012-01-25,NO,YES,1,5.5,5,66,11,467,3803
2012-01-26,NO,YES,2,10,9.5,79,7,244,3831
2012-01-27,NO,YES,2,12,12,57,22,269,3187
2012-01-28,NO,NO,1,6,4,53.5,14,775,3248
2012-01-29,NO,NO,1,6,3,28.5,16,558,2685
2012-01-30,NO,YES,1,4.5,3,43,13,126,3498
2012-01-31,NO,YES,1,12,12,39.5,18,324,4185
2012-02-01,NO,YES,1,14,14,52,11,304,4275
2012-02-02,NO,YES,2,11,11,67,10,190,3571
2012-02-03,NO,YES,1,6.5,3.5,53,12,310,3841
2012-02-04,NO,NO,2,3,2,81,9,384,2448
2012-02-05,NO,NO,2,4,1,65,11,318,2629
2012-02-06,NO,YES,1,6,4,66,9,206,3578
2012-02-07,NO,YES,1,7.5,6.5,47.5,12,199,4176
2012-02-08,NO,YES,2,3,1,70,9,109,2693
2012-02-09,NO,YES,1,5,4,53,15,163,3667
2012-02-10,NO,YES,2,6,4,56,9,227,3604
2012-02-11,NO,NO,3,2,1,81,17,192,1977
2012-02-12,NO,NO,1,2,8,43,26,73,1456
2012-02-13,NO,YES,1,4,5.5,46,9,94,3328
2012-02-14,NO,YES,2,7.5,6.5,50,7,135,3787
2012-02-15,NO,YES,1,8,6,54,11,141,4028
2012-02-16,NO,YES,2,7,6,76,6,74,2931
2012-02-17,NO,YES,1,9,6.5,45.5,13,349,3805
2012-02-18,NO,NO,1,8.5,5.5,44,15,1435,2883
2012-02-19,NO,NO,2,4.5,2,52,17,618,2071
2012-02-20,YES,YES,1,4,4,48,15,502,2627
2012-02-21,NO,YES,1,7,3.5,65,14,163,3614
2012-02-22,NO,YES,1,12.5,12.5,57,18,394,4379
2012-02-23,NO,YES,1,13,13,55,13,516,4546
2012-02-24,NO,YES,2,11,11,79.5,12,246,3241
2012-02-25,NO,NO,1,6,2,40,28,317,2415
2012-02-26,NO,NO,1,4.5,3,42,15,515,2874
2012-02-27,NO,YES,1,11,11,45,17,253,4069
2012-02-28,NO,YES,1,8.5,7,39.5,9,229,4134
2012-02-29,NO,YES,2,9,6,87,9,65,1769
2012-03-01,NO,YES,1,14,14,50,15,325,4665
2012-03-02,NO,YES,2,9,7,71,11,246,2948
2012-03-03,NO,NO,2,11,11,51,11,956,3110
2012-03-04,NO,NO,1,7,2.5,42.5,21,710,2713
2012-03-05,NO,YES,1,3,1.5,54.5,14,203,3130
2012-03-06,NO,YES,1,5,4,48.5,15,221,3735
2012-03-07,NO,YES,1,13,13,57,22,432,4484
2012-03-08,NO,YES,1,19,19,51,30,486,4896
2012-03-09,NO,YES,2,10,7,34,26,447,4122
2012-03-10,NO,NO,1,4,3,41,17,968,3150
2012-03-11,NO,NO,1,10.5,10,50,15,1658,3253
2012-03-12,NO,YES,1,16.5,16.5,50,14,838,4460
2012-03-13,NO,YES,1,18.5,18.5,60,15,762,5085
2012-03-14,NO,YES,1,19,19,46,7,997,5315
2012-03-15,NO,YES,1,17,17,61.5,8,1005,5187
2012-03-16,NO,YES,2,13,13,88,6,548,3830
2012-03-17,NO,NO,2,17,17,77,7,3155,4681
2012-03-18,NO,NO,2,14,14,82,9,2207,3685
2012-03-19,NO,YES,1,19,19,72.5,11,982,5171
2012-03-20,NO,YES,1,18,18,83,9,1051,5042
2012-03-21,NO,YES,2,17,17,83,6,1122,5108
2012-03-22,NO,YES,1,19.5,19.5,80.5,6.5,1334,5537
2012-03-23,NO,YES,2,21,21,69,7,2469,5893
2012-03-24,NO,NO,2,16,16,94,13,1033,2339
2012-03-25,NO,NO,2,12,12,88,16,1532,3464
2012-03-26,NO,YES,1,13.5,13.5,32.5,30,795,4763
2012-03-27,NO,YES,1,7,5,31,13,531,4571
2012-03-28,NO,YES,1,18,18,46,20,674,5024
2012-03-29,NO,YES,1,15.5,15.5,44,20,834,5299
2012-03-30,NO,YES,2,9.5,8.5,57.5,10,796,4663
2012-03-31,NO,NO,2,11,11,76,17,2301,3934
2012-04-01,NO,NO,2,12.5,12.5,71.5,11,2347,3694
2012-04-02,NO,YES,1,13,13,44,20,1208,4728
2012-04-03,NO,YES,1,15.5,15.5,42,6,1348,5424
2012-04-04,NO,YES,1,19,19,46,13,1058,5378
2012-04-05,NO,YES,1,12,12,38,13,1192,5265
2012-04-06,NO,YES,1,11.5,11.5,35,21,1807,4653
2012-04-07,NO,NO,1,13.5,13.5,23.5,17,3252,3605
2012-04-08,NO,NO,1,16,16,25.5,15,2230,2939
2012-04-09,NO,YES,1,14.5,14.5,31,24,905,4680
2012-04-10,NO,YES,1,12.5,12.5,37.5,14,819,5099
