Auction,Age,Make,Color,WheelType,Odo,Size,MMRAauction,MMRAretail,BadBuy
MANHEIM,4,JEEP,BLUE,Alloy,83599,SMALLSUV,8193,9348,1
OTHER,2,DODGE,BEIGE,Alloy,52123,MEDIUM,7314,10875,0
OTHER,2,CHRYSLER,BLUE,Covers,64332,MEDIUM,6834,10367,0
MANHEIM,3,KIA,BLUE,NULL,53125,MEDIUM,4735,5614,1
ADESA,5,CHEVROLET,BLUE,NULL,80383,LARGE,3643,4434,1
MANHEIM,5,DODGE,SILVER,Alloy,51523,VAN,4318,8283,0
MANHEIM,3,CHRYSLER,GREY,Alloy,66440,SPECIALTY,9459,10716,1
MANHEIM,6,MITSUBISHI,BEIGE,Alloy,66465,MEDIUMSUV,4261,5102,1
MANHEIM,6,GMC,BLUE,Covers,89079,LARGETRUCK,6056,9601,0
MANHEIM,4,FORD,SILVER,Alloy,87265,LARGE,8651,9843,0
OTHER,1,CHRYSLER,BLACK,Covers,51546,MEDIUM,7949,9085,0
MANHEIM,8,DODGE,BLUE,Alloy,90478,LARGETRUCK,5441,8372,1
MANHEIM,5,CHEVROLET,GREY,Alloy,62419,MEDIUMSUV,7220,10838,1
MANHEIM,6,BUICK,WHITE,Alloy,93659,MEDIUM,4032,7164,0
MANHEIM,5,SUZUKI,RED,Alloy,72386,LARGE,3089,3836,1
OTHER,6,HYUNDAI,BLACK,Alloy,71586,MEDIUM,2489,3188,1
MANHEIM,3,PONTIAC,WHITE,Alloy,80498,LARGE,6468,7485,0
MANHEIM,5,HYUNDAI,SILVER,Alloy,70245,MEDIUMSUV,6201,7197,1
ADESA,4,CHEVROLET,BLUE,Alloy,91216,VAN,3678,4472,0
OTHER,7,FORD,SILVER,Alloy,93996,COMPACT,1894,2546,1
MANHEIM,6,CHEVROLET,BLACK,Covers,84535,LARGE,3220,3978,1
OTHER,1,DODGE,BLUE,Covers,41566,MEDIUM,7541,8644,0
MANHEIM,3,DODGE,BLACK,Alloy,46030,MEDIUMSUV,8080,9226,1
OTHER,4,FORD,BEIGE,Alloy,99788,MEDIUM,4255,7552,0
MANHEIM,6,FORD,SILVER,Covers,68494,VAN,3526,6915,1
OTHER,7,CHEVROLET,MAROON,Alloy,70350,LARGE,3385,6355,1
MANHEIM,3,CHEVROLET,RED,Alloy,64711,LARGE,7255,8335,1
OTHER,2,SUZUKI,BEIGE,Covers,46247,MEDIUM,5451,6387,1
ADESA,2,PONTIAC,RED,NULL,62337,MEDIUM,8546,9730,1
ADESA,6,CHRYSLER,PURPLE,Covers,51978,MEDIUM,2910,3643,0
MANHEIM,4,FORD,WHITE,Covers,87618,MEDIUM,3670,4464,1
ADESA,6,FORD,BLUE,Covers,70679,VAN,2397,3089,0
ADESA,3,CHEVROLET,BLACK,Covers,85392,LARGE,6826,7872,0
MANHEIM,6,FORD,GREY,Alloy,97300,MEDIUM,3046,3790,0
MANHEIM,5,CHEVROLET,BEIGE,Covers,89100,COMPACT,2604,3312,1
MANHEIM,4,PONTIAC,SILVER,Alloy,81974,VAN,5086,5993,1
OTHER,3,PONTIAC,BLUE,Alloy,47072,LARGE,6670,7704,0
ADESA,2,DODGE,BLUE,Special,88442,LARGETRUCK,12050,13514,1
MANHEIM,4,CHEVROLET,SILVER,Covers,73791,LARGE,6157,9826,0
OTHER,5,DODGE,RED,Alloy,79610,LARGETRUCK,4597,5465,1
MANHEIM,4,DODGE,GREEN,Alloy,66174,MEDIUM,3511,4292,0
OTHER,1,DODGE,SILVER,NULL,52272,MEDIUM,7541,11548,1
MANHEIM,9,CHEVROLET,WHITE,Covers,67903,VAN,2508,5328,1
OTHER,4,DODGE,SILVER,Covers,69805,MEDIUM,6233,9421,1
MANHEIM,1,DODGE,RED,Covers,47215,MEDIUM,7790,11786,0
MANHEIM,6,FORD,SILVER,NULL,67934,COMPACT,2725,3443,1
MANHEIM,3,FORD,WHITE,Alloy,88637,LARGE,6266,7267,1
MANHEIM,3,DODGE,BLACK,Covers,87805,SPECIALTY,9713,13608,0
OTHER,1,DODGE,SILVER,NULL,41293,MEDIUM,9835,13897,1
OTHER,6,DODGE,BLUE,NULL,63544,MEDIUM,2434,3129,0
OTHER,1,DODGE,BLACK,Covers,53828,MEDIUM,8456,9632,0
OTHER,6,FORD,RED,NULL,77778,MEDIUMSUV,5163,6076,1
MANHEIM,4,DODGE,SILVER,Alloy,62456,MEDIUM,4496,5356,0
OTHER,5,CHEVROLET,WHITE,NULL,78806,LARGE,3450,4226,1
ADESA,5,CHEVROLET,RED,Alloy,76015,MEDIUM,5018,8302,0
ADESA,4,CHEVROLET,WHITE,Covers,85557,MEDIUM,4949,5845,1
MANHEIM,5,CHRYSLER,SILVER,Alloy,62738,MEDIUM,3819,7146,1
MANHEIM,6,NISSAN,WHITE,Covers,74984,COMPACT,3729,6924,0
MANHEIM,4,DODGE,WHITE,NULL,62385,MEDIUM,4370,7479,1
MANHEIM,8,CHEVROLET,GREEN,Covers,63798,MEDIUM,1970,4606,1
OTHER,8,PONTIAC,SILVER,NULL,45584,VAN,2618,5581,1
MANHEIM,6,SATURN,GREY,NULL,82580,MEDIUM,4565,7530,1
ADESA,4,FORD,GREY,Alloy,88757,SMALLSUV,8715,9912,1
MANHEIM,4,FORD,WHITE,Covers,87377,VAN,6245,9870,0
OTHER,3,CHEVROLET,GOLD,Covers,74672,MEDIUM,6878,10365,0
OTHER,1,DODGE,RED,Covers,46680,MEDIUM,6820,7866,0
MANHEIM,3,ISUZU,BLACK,Alloy,61625,SMALLTRUCK,9750,13537,1
MANHEIM,5,CHEVROLET,SILVER,Alloy,76530,MEDIUMSUV,7134,8205,1
MANHEIM,6,PONTIAC,BLACK,Covers,68727,MEDIUM,3038,3781,1
OTHER,5,PONTIAC,RED,Covers,89888,LARGE,4632,8151,0
OTHER,2,DODGE,SILVER,Covers,46462,MEDIUM,7811,11114,0
OTHER,4,CHEVROLET,BEIGE,NULL,93961,LARGETRUCK,11653,15584,1
MANHEIM,3,FORD,GREEN,Covers,76052,MEDIUM,4460,5317,0
ADESA,4,CHRYSLER,GOLD,Covers,71436,SPECIALTY,8529,11877,0
OTHER,4,CHEVROLET,SILVER,Alloy,63067,LARGETRUCK,6204,7200,0
OTHER,3,FORD,SILVER,Covers,72438,COMPACT,5246,8760,0
MANHEIM,3,PONTIAC,GOLD,Covers,85959,LARGE,8541,12202,1
MANHEIM,8,SATURN,SILVER,Alloy,98497,COMPACT,1788,2431,1
MANHEIM,8,NISSAN,BLUE,Alloy,85973,LARGE,4209,7158,0
OTHER,5,CHEVROLET,WHITE,Covers,81416,LARGE,4176,7721,0
ADESA,7,FORD,BEIGE,NULL,73527,LARGESUV,6786,10175,1
MANHEIM,6,FORD,GOLD,Alloy,71648,COMPACT,2924,3658,1
MANHEIM,6,DODGE,WHITE,Alloy,84613,SMALLTRUCK,4910,5803,1
ADESA,4,CHEVROLET,GREY,Covers,38982,COMPACT,4588,7301,0
MANHEIM,6,FORD,GREY,Alloy,79875,MEDIUMSUV,4833,8218,1
OTHER,2,JEEP,BLACK,Alloy,58233,SMALLSUV,9553,13569,1
MANHEIM,6,CHRYSLER,BLUE,NULL,39661,MEDIUM,3876,4686,0
MANHEIM,4,DODGE,WHITE,Covers,59603,MEDIUM,4586,5453,1
ADESA,5,NISSAN,BLUE,Alloy,71659,LARGE,7432,8527,0
MANHEIM,4,FORD,WHITE,Alloy,84648,LARGESUV,9598,10866,1
ADESA,8,CHRYSLER,BLUE,Covers,72401,MEDIUM,3041,5763,1
ADESA,2,FORD,GOLD,Alloy,80995,COMPACT,7241,8320,0
ADESA,3,FORD,WHITE,NULL,84935,MEDIUM,4472,5330,1
OTHER,6,CHEVROLET,MAROON,NULL,95846,LARGE,3201,3957,1
ADESA,5,KIA,SILVER,Alloy,58284,MEDIUM,3950,7259,0
MANHEIM,6,FORD,BLUE,Alloy,86061,COMPACT,2889,3620,0
MANHEIM,6,HONDA,SILVER,Alloy,75700,LARGESUV,9050,13173,1
ADESA,5,FORD,SILVER,Covers,67583,VAN,3094,3842,0
ADESA,3,CHRYSLER,BLUE,Covers,83256,MEDIUM,6978,10725,1
MANHEIM,2,CHEVROLET,PURPLE,Covers,88005,LARGE,7513,8614,0
MANHEIM,4,CHRYSLER,SILVER,NULL,68558,CROSSOVER,0,0,1
MANHEIM,2,MERCURY,GREY,Alloy,73210,MEDIUM,10516,14688,0
MANHEIM,2,KIA,BLUE,Covers,65989,COMPACT,6764,9252,0
OTHER,2,DODGE,BEIGE,Covers,53598,MEDIUM,7293,10856,0
MANHEIM,5,FORD,BEIGE,Alloy,72931,LARGE,5911,9992,1
MANHEIM,3,CHEVROLET,SILVER,Covers,79364,MEDIUM,6739,9666,1
MANHEIM,5,DODGE,BLUE,Alloy,95361,COMPACT,3520,6341,1
MANHEIM,4,TOYOTA,SILVER,Alloy,73840,MEDIUM,6688,9964,0
ADESA,4,CHEVROLET,WHITE,Covers,78853,LARGE,6347,9595,0
MANHEIM,3,CHEVROLET,BLACK,Covers,45844,COMPACT,5533,9129,1
MANHEIM,7,FORD,RED,NULL,79881,SMALLSUV,4285,5128,1
MANHEIM,4,FORD,SILVER,Alloy,87218,LARGE,7485,10756,0
ADESA,4,DODGE,MAROON,Covers,86242,LARGETRUCK,5590,6537,1
ADESA,5,CHEVROLET,WHITE,NULL,76035,LARGE,4482,5341,1
OTHER,5,DODGE,BLUE,Alloy,66685,MEDIUMSUV,7931,11926,0
ADESA,9,HYUNDAI,GREY,NULL,86870,MEDIUM,1478,3241,1
OTHER,5,DODGE,BLUE,Alloy,89990,VAN,5583,6530,1
ADESA,3,CHEVROLET,SILVER,Covers,69828,COMPACT,5564,8682,0
MANHEIM,5,HONDA,SILVER,Covers,87748,MEDIUM,7307,8392,0
ADESA,4,CHEVROLET,SILVER,Alloy,76579,MEDIUM,5576,9215,0
ADESA,6,PONTIAC,GOLD,Alloy,80743,VAN,3984,7774,0
MANHEIM,4,TOYOTA,WHITE,Covers,89134,COMPACT,6665,10047,0
OTHER,3,DODGE,GREEN,Covers,68903,MEDIUM,5480,6418,0
MANHEIM,5,FORD,GOLD,Alloy,73693,LARGESUV,8681,9875,1
MANHEIM,7,DODGE,WHITE,Alloy,68193,SMALLTRUCK,2707,3424,1
MANHEIM,3,KIA,BLUE,Covers,54577,MEDIUM,5500,8874,0
OTHER,4,CHEVROLET,SILVER,Covers,74003,COMPACT,5369,8612,0
MANHEIM,6,FORD,SILVER,Alloy,83654,SPORTS,5019,8218,1
ADESA,4,SUZUKI,BLACK,NULL,55109,MEDIUMSUV,7057,10843,1
MANHEIM,6,DODGE,RED,Alloy,70166,VAN,3898,4710,1
ADESA,4,CHRYSLER,BLACK,NULL,51917,MEDIUM,4188,7754,1
MANHEIM,4,DODGE,BLACK,Alloy,61618,COMPACT,3647,4439,0
OTHER,3,DODGE,WHITE,Covers,84778,MEDIUM,6104,9851,0
MANHEIM,4,JEEP,WHITE,Alloy,70330,MEDIUMSUV,8787,9990,1
OTHER,1,KIA,BLACK,Covers,40720,MEDIUM,7468,9890,0
MANHEIM,2,KIA,BLUE,Covers,39756,MEDIUM,7309,8394,0
MANHEIM,4,CHEVROLET,SILVER,Alloy,81697,MEDIUM,5450,6386,0
MANHEIM,8,SATURN,GREEN,Covers,55520,COMPACT,2203,4520,1
MANHEIM,8,ISUZU,BLUE,Covers,70738,MEDIUMSUV,2804,3528,0
MANHEIM,2,FORD,GOLD,Alloy,80002,LARGE,8032,9175,0
MANHEIM,4,JEEP,GREY,Alloy,73779,MEDIUMSUV,9303,10547,0
MANHEIM,5,FORD,BEIGE,Alloy,84636,MEDIUMSUV,7265,11518,1
MANHEIM,5,CHEVROLET,YELLOW,Alloy,54617,COMPACT,3194,5937,0
ADESA,4,KIA,GOLD,Covers,51868,MEDIUM,4837,8384,0
MANHEIM,7,FORD,GREY,Alloy,82320,COMPACT,3130,3880,1
OTHER,4,HYUNDAI,BLUE,NULL,54836,MEDIUM,6910,10335,1
ADESA,6,CHEVROLET,SILVER,Covers,95714,MEDIUM,2931,5981,1
OTHER,1,CHRYSLER,RED,Covers,50912,MEDIUM,7220,8298,1
MANHEIM,5,CHEVROLET,BEIGE,Alloy,79713,LARGETRUCK,4809,5694,0
OTHER,4,KIA,GREY,NULL,77702,MEDIUM,4687,7759,1
MANHEIM,6,CHRYSLER,BLUE,Alloy,72062,CROSSOVER,6854,10292,1
MANHEIM,2,CHEVROLET,GREY,Covers,81814,LARGE,7900,11722,0
MANHEIM,5,FORD,BROWN,Alloy,81076,MEDIUM,3709,4506,1
ADESA,3,CHRYSLER,BLUE,Alloy,49507,MEDIUM,8533,12425,1
MANHEIM,8,SATURN,GREY,Covers,75548,COMPACT,1639,2270,0
OTHER,2,CHEVROLET,SILVER,Alloy,80029,LARGE,8186,9341,0
ADESA,4,FORD,BLACK,Alloy,77102,COMPACT,4686,5561,0
MANHEIM,4,HYUNDAI,BLACK,Covers,66796,COMPACT,4737,8076,0
MANHEIM,6,CHRYSLER,WHITE,Alloy,89520,VAN,2866,3595,1
OTHER,2,DODGE,WHITE,Covers,51061,MEDIUM,0,0,0
MANHEIM,5,JEEP,WHITE,Alloy,81812,MEDIUMSUV,9425,12800,1
MANHEIM,5,PONTIAC,SILVER,Alloy,88709,MEDIUM,4972,8120,0
MANHEIM,3,FORD,BLUE,Alloy,93988,LARGE,6017,6998,0
OTHER,1,CHEVROLET,BLACK,Alloy,82435,MEDIUMSUV,13303,14867,0
MANHEIM,4,CHRYSLER,GOLD,Covers,55612,MEDIUM,5454,8421,0
OTHER,4,CHEVROLET,ORANGE,NULL,86125,MEDIUM,5906,10268,1
MANHEIM,6,SUZUKI,BLUE,Covers,74494,COMPACT,2819,5754,1
MANHEIM,5,DODGE,BLUE,Alloy,81296,LARGETRUCK,9620,10890,0
OTHER,1,KIA,SILVER,Covers,42838,MEDIUM,7477,10330,0
MANHEIM,4,SUZUKI,SILVER,Covers,74243,MEDIUM,4140,7536,1
MANHEIM,6,DODGE,SILVER,Alloy,68989,MEDIUMSUV,3792,4595,0
MANHEIM,4,CHEVROLET,WHITE,Alloy,83620,VAN,7517,12209,0
MANHEIM,6,CHEVROLET,WHITE,Alloy,87041,MEDIUMSUV,7005,11096,1
MANHEIM,5,DODGE,BLUE,Alloy,85260,VAN,4395,7355,0
MANHEIM,6,DODGE,BLUE,Covers,91751,MEDIUM,3913,7117,1
OTHER,4,CHEVROLET,SILVER,NULL,83073,MEDIUM,5658,9011,1
MANHEIM,7,CHRYSLER,SILVER,Covers,89716,VAN,2416,5760,1
OTHER,5,FORD,RED,NULL,63071,COMPACT,3261,6500,1
ADESA,4,CHEVROLET,BLACK,Alloy,71434,MEDIUM,6014,9584,0
MANHEIM,8,FORD,WHITE,Alloy,68506,SMALLSUV,4253,7214,1
OTHER,4,JEEP,SILVER,Alloy,62336,SMALLSUV,8357,11697,0
MANHEIM,6,FORD,RED,Alloy,86973,MEDIUMSUV,7080,11028,1
MANHEIM,4,CHEVROLET,WHITE,Alloy,61845,LARGETRUCK,7558,8663,0
OTHER,7,NISSAN,GREEN,NULL,77857,MEDIUM,4487,5346,1
ADESA,4,CHEVROLET,GREY,Covers,87236,MEDIUM,5907,9217,1
OTHER,4,CHEVROLET,SILVER,Covers,77479,MEDIUM,4123,4953,1
OTHER,6,MAZDA,RED,Covers,58199,MEDIUM,4382,7661,1
MANHEIM,2,CHEVROLET,SILVER,Alloy,61089,LARGE,8186,9341,1
OTHER,6,JEEP,BEIGE,NULL,73284,SMALLSUV,5464,8148,1
ADESA,4,PONTIAC,BLUE,Alloy,82685,LARGE,6549,10013,0
MANHEIM,2,JEEP,GOLD,Alloy,52722,SMALLSUV,8894,13598,0
MANHEIM,4,CHEVROLET,SILVER,Covers,76867,COMPACT,4288,7512,1
MANHEIM,3,CHEVROLET,BEIGE,Covers,72958,LARGE,7330,11597,1
MANHEIM,3,CHEVROLET,RED,Alloy,65843,COMPACT,5734,9236,0
MANHEIM,7,FORD,SILVER,Covers,83423,COMPACT,1772,2414,0
ADESA,3,PONTIAC,WHITE,Covers,89443,MEDIUM,6976,10513,1
MANHEIM,6,FORD,GREY,Alloy,82643,MEDIUM,0,0,0
MANHEIM,4,CHRYSLER,BLUE,Alloy,83843,MEDIUM,5174,9281,0
MANHEIM,5,CHEVROLET,GREEN,Alloy,81260,MEDIUM,4924,8145,0
OTHER,4,CHRYSLER,SILVER,Covers,75964,MEDIUM,4739,8318,0
OTHER,2,CHEVROLET,YELLOW,Covers,40284,COMPACT,5864,6833,0
OTHER,7,GMC,GOLD,Alloy,93776,MEDIUMSUV,6626,10999,1
MANHEIM,6,BUICK,SILVER,Alloy,66495,LARGE,4390,5241,0
MANHEIM,4,CHRYSLER,SILVER,Covers,64781,MEDIUM,4904,8534,1
MANHEIM,4,PONTIAC,GREY,Covers,61655,MEDIUM,6414,9177,1
MANHEIM,4,DODGE,BLUE,Alloy,94334,SMALLTRUCK,8101,12392,0
MANHEIM,7,BUICK,BLUE,NULL,71823,MEDIUM,2965,6180,1
MANHEIM,6,FORD,WHITE,Alloy,86357,MEDIUM,2787,3510,0
MANHEIM,3,CHEVROLET,WHITE,Alloy,86340,COMPACT,0,0,0
MANHEIM,3,HYUNDAI,BLACK,Covers,68830,MEDIUM,5302,6226,0
MANHEIM,6,FORD,WHITE,Covers,57567,MEDIUMSUV,4707,5584,0
MANHEIM,3,BUICK,BLACK,Covers,79692,LARGE,9200,10436,0
ADESA,6,CHEVROLET,GREY,Covers,79998,LARGE,3242,6671,0
OTHER,5,CHEVROLET,BROWN,Covers,74949,VAN,4020,4842,0
OTHER,3,FORD,BLACK,Alloy,85675,LARGE,10033,11336,0
OTHER,4,CHEVROLET,GOLD,Covers,68314,COMPACT,4389,7990,0
OTHER,4,CHEVROLET,WHITE,Covers,79639,VAN,8301,9465,1
OTHER,7,NISSAN,RED,Alloy,87467,MEDIUMSUV,6724,10264,1
ADESA,7,DODGE,GREEN,Alloy,78848,MEDIUMSUV,4267,5108,1
MANHEIM,6,NISSAN,WHITE,Alloy,87343,MEDIUMSUV,8302,12220,0
MANHEIM,2,CHRYSLER,BLUE,Covers,53189,CROSSOVER,9931,11225,0
MANHEIM,3,FORD,BLUE,Alloy,75122,LARGE,6741,7780,0
OTHER,2,DODGE,BLACK,NULL,49033,MEDIUM,7516,11093,1
MANHEIM,3,CHEVROLET,BLACK,Alloy,97017,MEDIUM,7751,11288,1
MANHEIM,5,FORD,WHITE,Covers,94850,SMALLTRUCK,4020,7561,1
OTHER,8,SATURN,RED,Covers,88976,MEDIUM,2749,3469,0
ADESA,4,KIA,SILVER,Alloy,56381,MEDIUM,2911,3644,0
MANHEIM,1,DODGE,BLUE,Alloy,46336,MEDIUM,8356,9524,1
MANHEIM,4,DODGE,BLUE,NULL,78091,VAN,3376,4146,1
MANHEIM,5,FORD,SILVER,Alloy,84057,LARGETRUCK,10596,14677,1
OTHER,3,CHEVROLET,BLACK,NULL,65579,COMPACT,5674,8943,1
MANHEIM,4,MITSUBISHI,GREY,Alloy,68168,MEDIUM,5125,6035,0
MANHEIM,3,DODGE,BLUE,Covers,52171,VAN,6003,6983,0
ADESA,3,PONTIAC,WHITE,Alloy,82457,LARGE,6007,10097,1
MANHEIM,3,CHRYSLER,BEIGE,Covers,61410,MEDIUM,8034,11419,1
ADESA,3,CHRYSLER,WHITE,Covers,59545,MEDIUM,6886,10554,1
MANHEIM,6,FORD,GREEN,Alloy,70140,MEDIUMSUV,5328,6254,1
MANHEIM,4,CHRYSLER,WHITE,Covers,75728,MEDIUM,4393,8038,1
MANHEIM,9,MAZDA,BLUE,Covers,98501,MEDIUM,2853,5510,1
OTHER,1,DODGE,WHITE,Covers,46992,MEDIUM,9066,12599,0
MANHEIM,6,PONTIAC,GREEN,Alloy,85940,LARGE,4465,7627,0
MANHEIM,4,MERCURY,SILVER,Alloy,63210,MEDIUMSUV,11811,16369,1
MANHEIM,3,DODGE,WHITE,Covers,59008,SPECIALTY,9230,12731,0
MANHEIM,5,HONDA,GREY,Covers,64786,MEDIUM,7285,10016,0
MANHEIM,3,PONTIAC,GREY,Alloy,77115,MEDIUM,7904,11871,0
ADESA,4,SCION,BLUE,Covers,52315,MEDIUM,5371,9306,0
ADESA,4,FORD,BLACK,Alloy,66947,LARGE,8651,9843,0
ADESA,5,CHRYSLER,PURPLE,NULL,52425,MEDIUM,4413,7902,1
OTHER,1,DODGE,WHITE,Covers,43641,MEDIUM,7769,8891,0
MANHEIM,9,CHRYSLER,GREY,Alloy,86935,MEDIUM,2934,5275,1
MANHEIM,4,CHRYSLER,RED,Covers,57072,MEDIUM,4743,8327,0
MANHEIM,4,FORD,WHITE,Alloy,86783,LARGETRUCK,7086,13688,1
ADESA,4,PONTIAC,GOLD,NULL,60190,MEDIUM,3780,4582,1
MANHEIM,6,MAZDA,GREY,Alloy,57320,MEDIUM,4377,7769,1
MANHEIM,4,KIA,SILVER,Alloy,91005,COMPACT,4339,7363,1
OTHER,2,DODGE,BLACK,Covers,51723,MEDIUM,0,0,0
ADESA,5,SATURN,BLUE,Alloy,50992,MEDIUMSUV,5740,6699,1
ADESA,3,DODGE,BLUE,Alloy,76085,LARGETRUCK,9311,10556,0
MANHEIM,3,DODGE,WHITE,Covers,43276,MEDIUM,5480,6418,0
OTHER,6,CHEVROLET,MAROON,NULL,77855,MEDIUMSUV,5915,9827,1
MANHEIM,4,PONTIAC,GREY,Covers,70791,MEDIUM,3882,4693,0
MANHEIM,2,DODGE,GREY,Covers,50151,MEDIUM,7827,8953,1
MANHEIM,8,DODGE,WHITE,Alloy,68541,SMALLTRUCK,3465,4242,1
MANHEIM,8,DODGE,MAROON,Alloy,93110,VAN,3190,6532,1
MANHEIM,4,DODGE,RED,Covers,68593,VAN,6077,10029,1
MANHEIM,5,VOLKSWAGEN,BLUE,Alloy,57537,SPECIALTY,8656,12662,0
MANHEIM,7,CHEVROLET,WHITE,Covers,89451,MEDIUM,2529,3231,1
MANHEIM,3,MITSUBISHI,BLUE,Alloy,41268,MEDIUMSUV,8210,9367,0
MANHEIM,6,CHEVROLET,GREY,Alloy,96451,MEDIUMSUV,6631,9931,0
OTHER,5,FORD,SILVER,Alloy,95836,MEDIUM,0,0,0
ADESA,4,DODGE,BLUE,NULL,69695,MEDIUM,4249,7329,1
ADESA,4,DODGE,SILVER,Alloy,83465,MEDIUMSUV,8441,9616,0
ADESA,4,DODGE,WHITE,Alloy,53572,SMALLTRUCK,6972,8030,0
MANHEIM,7,FORD,SILVER,Covers,65484,VAN,2456,3152,1
MANHEIM,6,MERCURY,BLACK,Alloy,80773,MEDIUMSUV,7264,11122,0
MANHEIM,5,JEEP,BLUE,Alloy,59478,SMALLSUV,6144,7136,1
MANHEIM,9,LINCOLN,BLUE,NULL,62327,LARGE,3485,6395,0
ADESA,2,HONDA,WHITE,Alloy,97267,COMPACT,12556,16141,1
MANHEIM,3,SATURN,SILVER,Covers,58986,MEDIUM,5904,6876,1
MANHEIM,2,CHEVROLET,WHITE,Alloy,72846,LARGE,8340,11716,0
ADESA,4,CHRYSLER,BLUE,Alloy,80434,MEDIUM,5076,5982,0
OTHER,4,DODGE,SILVER,Alloy,69513,VAN,4856,5744,0
OTHER,4,CHRYSLER,BLUE,NULL,52546,MEDIUM,4578,5444,1
OTHER,3,CHEVROLET,GREY,Covers,63138,LARGE,6858,7907,0
MANHEIM,6,MITSUBISHI,BLUE,Covers,77254,CROSSOVER,4400,5252,0
MANHEIM,8,CHEVROLET,BEIGE,Covers,93575,COMPACT,1928,4656,1
OTHER,2,CHEVROLET,WHITE,Alloy,72110,LARGE,8186,9341,0
OTHER,3,DODGE,BLUE,Covers,58915,MEDIUM,6484,9915,0
MANHEIM,6,JEEP,SILVER,Covers,51676,SMALLSUV,4870,5760,1
ADESA,4,CHEVROLET,WHITE,Alloy,80736,MEDIUMSUV,6742,11068,0
MANHEIM,3,CHEVROLET,WHITE,Covers,70481,LARGE,8015,11537,0
ADESA,6,CHRYSLER,RED,Covers,60522,MEDIUM,4196,7137,1
MANHEIM,7,FORD,WHITE,Covers,55899,SMALLTRUCK,3268,4029,0
OTHER,2,CHRYSLER,WHITE,Covers,59221,MEDIUM,6444,9853,1
ADESA,5,CHEVROLET,GREY,Alloy,79012,MEDIUM,5466,6403,0
MANHEIM,3,HONDA,GREY,Alloy,77223,COMPACT,10796,12160,1
MANHEIM,5,DODGE,BLUE,Special,81557,LARGETRUCK,8395,9567,1
ADESA,6,FORD,SILVER,Alloy,86883,MEDIUMSUV,5237,8713,1
MANHEIM,3,CHEVROLET,GREY,Covers,61267,MEDIUM,7274,11051,1
MANHEIM,5,CHRYSLER,SILVER,Covers,63057,MEDIUM,3114,7573,0
MANHEIM,7,FORD,SILVER,Alloy,67621,SPORTS,5912,9012,1
MANHEIM,8,MERCURY,GREEN,Covers,81459,LARGE,4222,7395,1
MANHEIM,5,DODGE,SILVER,Alloy,62897,MEDIUMSUV,7524,8626,1
MANHEIM,4,GMC,WHITE,Alloy,90122,LARGETRUCK,11861,16443,0
OTHER,4,CHRYSLER,SILVER,Alloy,77087,CROSSOVER,6799,7843,0
MANHEIM,5,SUZUKI,WHITE,Covers,63558,MEDIUM,3095,5383,0
OTHER,8,GMC,BEIGE,Alloy,87897,MEDIUMSUV,5998,9496,0
ADESA,6,TOYOTA,WHITE,Covers,85266,MEDIUM,5998,9514,1
ADESA,4,CHRYSLER,BLUE,Alloy,60786,CROSSOVER,8103,9251,0
ADESA,4,MERCURY,BLACK,Covers,54570,MEDIUM,7145,11129,0
OTHER,4,JEEP,SILVER,Special,65198,SMALLSUV,5622,6572,1
OTHER,4,HONDA,BLACK,Covers,56326,MEDIUM,8214,9371,0
